7zip 25.01-1
mangohud 0.8.1-1
mbedtls2 2.28.10-1
mcomix 3.1.0-2
md4c 0.5.2-1
mdadm 4.4-1
meld 3.22.3-1
mesa 1:25.1.7-1
mesa-utils 9.0.0-7
meson 1.8.3-1
microsoft-gsl 4.2.0-1
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
minizip-ng 4.0.10-1
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20250613-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.1-1
mpv 1:0.40.0-5
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mtpfs 1.1-5
mujs 1.3.7-1
mutter 48.4-1
mypaint-brushes1 1.3.1-2
mypy 1.17.0-1
nautilus 48.3-1
nautilus-share 0.7.5-5
ncdu 2.8.2-3
ncurses 6.5-4
ndctl 79-1
neon 0.35.0-1
neovim 0.11.3-1
netpbm 10.86.47-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
networkmanager-openconnect 1.2.10-3
nftables 1:1.1.4-1
ninja 1.12.1-2
nitrogen 1.6.1-6
nm-connection-editor 1.36.0-1
node-gyp 11.3.0-1
nodejs 24.6.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.08.01-1
noto-fonts-emoji 1:2.048-1
npm 11.5.2-1
npth 1.8-1
nspr 4.37-1
nss 3.115-1
nsz 4.6.1-3
ntp 4.2.8.p18-3
numactl 2.0.19-1
numlockx 1.2-6
nvidia-dkms 580.76.05-4
nvidia-prime 1.0-5
nvidia-prime-rtd3pm 1.1-1
nvidia-settings 580.76.05-1
nvidia-utils 580.76.05-4
nvme-cli 2.15-1
nvtop 3.2.0-1
nwg-bar 0.1.6-3
nwg-dock-hyprland 0.4.8-2
nwg-drawer 0.7.4-2
oath-toolkit 2.6.13-1
ocl-icd 2.3.3-1
ollama 0.11.4-1
ollama-cuda 0.11.4-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencl-nvidia 580.76.05-4
openconnect 1:9.12-4
opencore-amr 0.1.6-2
openexr 3.3.5-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openmpi 5.0.8-2
openpmix 5.0.8-1
opensc 0.26.1-1
openssh 10.0p1-4
openssl 3.5.2-1
openucx 1.19.0-1
opus 1.5.2-1
orc 0.4.41-1
osinfo-db 20250606-1
ostree 2025.4-1
ov-bin 0.42.1-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.12.0-1
pacman-mirrorlist 20250702-2
pacutils 0.15.0-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.56.4-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papers 48.5-1
papirus-icon-theme 20250501-1
paprefs 1.2-3
parallel 20250722-2
